vuz_name;Общий объем финансиро-вания, тыс. р.;Финансиро-вание из средств Минобрнауки России,  тыс. р.;Финансиро-вание из средств других министерств и ведомств, тыс.р.;Финансиро-вание из средств РНФ, РФФИ, ФПИ, тыс. р.;Финансиро-вание из средств хозяйствую-щих субъектов, тыс. р.;Финансирование из средств зарубежных источников, тыс. р.;Объем НИОКР гос.задания Минобрнауки России;Объем финансирования НИОКР по ФЦП, тыс. р.;Итого-вый рейтинг по 5 показ._finansirovanie;Итого-вый рейтинг по 4 показ._finansirovanie;Численность докторов наук;Численность кандидатов наук;Доктора наук среди ППС, чел.;Кандидаты наук среди ППС, чел.;Сумма занятых ставок ППС, всего;Сумма занятых ставок работников сферы НИР, всего;Сумма занятых ставок руковод. научных подразд., всего;Доктора наук среди научных сотрудников, всего;Кандидаты наук среди научных сотрудников, всего;Сумма занятых ставок научными сотрудниками, всего;Сумма занятых ставок специалистов, всего;Итого-вый рейтинг по 8 показ._kadri;Стоимость основных средств, тыс. р.;Стоимость основных средств, приобр. за отч. период, тыс.р.;Стоимость машин и оборудования, тыс.р.;Стоимость машин и оборудования, приобр. за отч. период, тыс.р.;Итого-вый рейтинг по 4 показ._mtb;Численность докторантов, чел.;Выпуск докторантов с защитой;Численность аспирантов, чел.;Выпуск аспирантов с защитой;Защищено диссертаций на соискание ученой степени кандидата наук;Защищено диссертаций на соискание ученой степени доктора наук - работниками вуза;Защищено диссертаций на соискание ученой степени кандидата наук - работниками вуза;Итого-вый рейтинг по 2 показ._podgotovka_kadrov;Моногра-фии;Публикации в РИНЦ;Публикации Article, Review, Letter в Web of Science в отчетном году;Публикации Article, Review, Letter в Scopus в отчетном году;Патенты России;Зару-бежные патенты;Поддержи-ваемые патенты;Заявки на объекты промышленной собственности;Свид-ва о госуд. регистрации программ для ЭВМ, БД, топологии микросхем;Созданные РИД;Лицензии на право исп. изобретений вуза;Цитирование публикаций в Web of Science за последние 5 лет;Итого-вый рейтинг по 4 показ._resultativnost
МФТИ;3945309.4;1141462.1;625039;523523;1148064.3;36186.4;368648.7;253032.2;1;0.935771467;115;430;75;219;764.5;1252.2;33.6;25;125;424.6;583.3;0.610956434;9761301.7;1837946.7;5667608.4;685456.1;0.944507828;0;0;856;53;94;6;11;0.446637443;14;3375;1928;2936;23;1;128;16;15;59;13;68375;0.761489376
ИТМО;3296237.5;1355886.7;0;494133.8;851474.9;85911.3;221192.5;430000;0.948703576;1;145;641;105;341;700.7;934.8;7;17;85;187.5;662.1;0.46444849;5856996.9;663035.1;3903086.7;593523.5;0.619427164;16;3;1020;78;84;4;76;0.474097492;35;3159;1406;2198;50;1;318;49;68;107;23;36982;0.571690894
СПбПУ;2813021.8;821395.9;42000;336700.5;1171343.8;111381.6;196526.1;363397.6;0.873318317;0.912589492;328;1093;292;898;1606.5;965;62.5;8;45;169.25;679.25;0.750108825;14538102.1;771635.9;7070278.5;453815.5;0.734398831;37;2;899;7;49;7;49;0.365916071;76;6547;1225;2435;54;0;236;55;121;186;64;46500;0.720151996
ТПУ;1924900.9;776031.9;0;380730.9;577118;150005.9;161193.3;236097;0.820443506;0.864804905;217;1014;187;737;1127.15;525.75;21.3;10;83;179.45;274.95;0.488126936;9979214;182117;4864526;164624;0.370111813;1;0;881;32;56;10;56;0.375147887;20;4460;1306;1896;91;0;209;52;54;152;15;28276;0.502942303
КФУ;1708170.3;779440.5;0;469733.6;338965.5;16482.4;169797.8;119000.9;0.550995634;0.58078798;456;1863;390;1468;2940.54;951.99;1.01;41;174;587.05;274.07;0.972606094;24390573.4;1476011.8;8284256.7;556427.1;1;12;0;1293;39;66;18;109;0.517000007;67;6438;2312;2813;29;3;263;29;28;89;9;36899;0.779403305
СПб Горный;1349059.8;73816.4;0;39400;1221106.4;7801.2;60285.6;8000;0.336613248;0.354813934;122;553;109;452;776.25;153.13;8.38;5;30;38.5;70.5;0.226988539;13557704.8;579872.3;3223709.4;227222.6;0.416534297;0;1;379;29;48;1;48;0.210990118;9;1645;214;720;68;0;252;117;61;246;0;950;0.200255889
РГУ;1001354.7;237767.2;0;78400;627041.8;58145.7;39452.7;162951.7;0.357908515;0.377260636;201;548;184;471;869.8;143.2;3;3;12;46.95;67.1;0.235036245;7136628.1;643974.8;3538085.6;518502.4;0.566723859;7;0;406;9;40;4;13;0.202329116;46;1652;195;357;15;0;152;31;7;38;0;949;0.152481022
НГУ;867651.6;342123;0;334893.1;165165.5;18764.7;87576.2;50000;0.342051798;0.360546546;71;260;52;167;545.64;339.17;34.1;9;39;177.58;125.19;0.2961052;10554698.5;544454.8;4219077.2;487984.4;0.580043866;0;0;346;3;13;16;42;0.128675834;37;4558;2528;3042;27;0;198;41;8;76;11;83186;1
УГНТУ;337663.5;7279.7;0;1663;312914.6;6567.1;5927.3;0;0.087980001;0.092737082;166;730;147;664;1295.8;98.65;0;1;1;23.05;40.8;0.230481753;4342369.8;209037.9;1271554.7;122415.8;0.174142241;4;1;326;3;25;2;8;0.147693205;37;3491;204;425;56;0;154;45;25;126;0;1026;0.186642583
БАШГУ;265092.4;4661.3;0;65472.9;171697.4;7107;2450.9;0;0.092241706;0.097229217;221;873;175;773;1194.35;51.35;5.75;30;4;19;11.6;0.339575275;3370161.6;401309;752932.1;349683.1;0.302347347;3;0;395;4;28;2;14;0.174199458;175;6688;210;310;25;1;32;24;35;136;21;3084;0.481841974
ТюмГУ;249550.9;68227.3;0;78220;100830.1;2273.5;22394.4;0;0.087510526;0.092242222;137;595;116;489;1071.98;127.65;19.6;3;20;59.65;10.7;0.259151876;4373806.4;262977;1518956;172135.3;0.220164941;4;0;342;10;16;2;12;0.133724121;46;2266;389;430;2;0;18;7;0;7;4;2754;0.17758174
САФУ;194572.4;52451.9;0;50495;57971.9;25197.6;20278.3;0;0.103959848;0.109580959;92;530;82;462;628.3;84.85;4.75;1;5;19.75;40.25;0.15682403;8677513.1;818416.4;3329053.3;127099.7;0.378035173;4;2;309;0;26;2;15;0.144770833;46;2160;188;296;34;0;62;25;15;49;1;766;0.156582339
ТИУ;139045.6;12690.7;0;12950;25043.6;0;11611.9;0;0.015976523;0.016840374;141;621;118;533;950.03;215.5;1.75;6;7;20.45;158.9;0.234953071;7504197;130462.7;1796653.9;100268;0.187563631;0;0;191;0;15;2;7;0.087263777;91;3181;211;582;45;0;58;25;23;68;0;2714;0.27235855
