rid_type,grnti,oecds,vuz_short,V2
Программа для ЭВМ,Средства обработки и поиска информации,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Комплексный автоматизированный электропривод,"ENGINEERING, ELECTRICAL & ELECTRONIC",ТПУ,2016
Изобретение,Физика наноструктур. Низкоразмер-ные структуры. Мезоскопические структуры,"PHYSICS, CONDENSED MATTER",ИТМО,2016
Программа для ЭВМ,Математическое моделирование,"COMPUTER SCIENCE, CYBERNETICS",ИТМО,2016
Программа для ЭВМ,Программная реализация интеллектуальных систем,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",ИТМО,2016
Программа для ЭВМ,Физика недр Земли,"PHYSICS, MATHEMATICAL",ТПУ,2016
Программа для ЭВМ,Трибология,MECHANICS,ИТМО,2016
Изобретение,Методы биологических исследований,BIOLOGY,МФТИ,2016
Изобретение,Фотохимия. Лазерохимия,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",ИТМО,2016
Полезная модель,Приборы для измерения состава и физико-химических свойств твердых материалов,"ENGINEERING, ELECTRICAL & ELECTRONIC",ИТМО,2016
Полезная модель,Металлические покрытия,"ENGINEERING, MECHANICAL",ТИУ,2016
Изобретение,Моделирование физических процессов,OPTICS,ИТМО,2016
Секрет производства (ноу хау),Технология и производство ядерных реакторов,NUCLEAR SCIENCE & TECHNOLOGY,ТПУ,2016
Полезная модель,Обработка поверхностей после нанесения покрытий,"ENGINEERING, MECHANICAL",ТИУ,2016
Изобретение,Математическое моделирование,"COMPUTER SCIENCE, CYBERNETICS",ТПУ,2016
Программа для ЭВМ,Общие вопросы,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Теоретические основы теплотехники,"ENGINEERING, MULTIDISCIPLINARY",ТПУ,2016
Программа для ЭВМ,Средства передачи информации,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ТПУ,2016
Программа для ЭВМ,Информационная безопасность. Защита информации,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Математическое моделирование,"COMPUTER SCIENCE, CYBERNETICS",ТПУ,2016
Программа для ЭВМ,Ракетные двигатели,"ENGINEERING, AEROSPACE",ИТМО,2016
Изобретение,Моделирование физических процессов,OPTICS,ИТМО,2016
Изобретение,"Узлы, блоки, элементы, детали приборов для измерения состава и физико-химических свойств веществ и материалов","PHYSICS, MULTIDISCIPLINARY",ИТМО,2016
Изобретение,Электротехническое оборудование ракетно-космических систем и летательных аппаратов,AUTOMATION & CONTROL SYSTEMS,МФТИ,2016
Изобретение,Приборы для неразрушающего контроля изделий и материалов акустическим методом,"ENGINEERING, MULTIDISCIPLINARY",ТПУ,2016
Программа для ЭВМ,Средства обработки и поиска информации,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Нелинейные детерминированные системы,AUTOMATION & CONTROL SYSTEMS,ТПУ,2016
Изобретение,Отходы химических производств и их переработка. Вторичное сырье. Ресурсосбережение,"ENGINEERING, CHEMICAL",ТПУ,2016
Программа для ЭВМ,Математическое моделирование,"COMPUTER SCIENCE, CYBERNETICS",ТПУ,2016
Программа для ЭВМ,Воздействие лазерного излучения на вещество,OPTICS,ИТМО,2016
База данных,Моделирование физических процессов,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ТПУ,2016
Программа для ЭВМ,Спектроскопические методы и методики,OPTICS,ИТМО,2016
Программа для ЭВМ,Информационная безопасность. Защита информации,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Промышленная теплоэнергетика и теплотехника,ENERGY & FUELS,ТПУ,2016
Изобретение,Отходы химических производств и их переработка. Вторичное сырье. Ресурсосбережение,"ENGINEERING, CHEMICAL",ТПУ,2016
Программа для ЭВМ,Методика и техника эксперименталь-ных исследований газов и жидкостей,"ENGINEERING, MULTIDISCIPLINARY",ТПУ,2016
Программа для ЭВМ,Распознавание образов. Обработка изображений,"PHYSICS, NUCLEAR",ТПУ,2016
Программа для ЭВМ,Информационная безопасность. Защита информации,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Общие вопросы,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ИТМО,2016
Программа для ЭВМ,Физика недр Земли,"PHYSICS, MATHEMATICAL",ТПУ,2016
Программа для ЭВМ,Формирование оптического изображе-ния. Оптические приборы и оптические методы измерений,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ИТМО,2016
Секрет производства (ноу хау),Гетероциклические соединения,"CHEMISTRY, ORGANIC",МФТИ,2016
Изобретение,Конструкционные материалы ядерных реакторов,NUCLEAR SCIENCE & TECHNOLOGY,ТПУ,2016
Программа для ЭВМ,Люминесценция,"CHEMISTRY, MEDICINAL",ТПУ,2016
Программа для ЭВМ,Моделирование физических процессов,"COMPUTER SCIENCE, INFORMATION SYSTEMS",ТПУ,2016
Программа для ЭВМ,Математическое моделирование,"COMPUTER SCIENCE, CYBERNETICS",ТПУ,2016
Изобретение,Физические основы применения лазеров,OPTICS,ИТМО,2016
Программа для ЭВМ,Тепломассоперенос,"ENGINEERING, MULTIDISCIPLINARY",ТПУ,2016
Изобретение,"Прессование, спекание и штамповка изделий из порошковых материалов",NANOSCIENCE & NANOTECHNOLOGY,ТПУ,2016
Полезная модель,Эксплуатационные и теплотехнические характеристики энергетических топлив,MULTIDISCIPLINARY SCIENCES,ТПУ,2016
Изобретение,Радиация в атмосфере,"PHYSICS, NUCLEAR",ТПУ,2016
Программа для ЭВМ,Методика и техника эксперименталь-ных исследований газов и жидкостей,"ENGINEERING, MULTIDISCIPLINARY",ТПУ,2016
Секрет производства (ноу хау),Производство редких и редкоземельных металлов и сплавов,"CHEMISTRY, APPLIED",ТПУ,2016
Изобретение,Кинетика. Гомогенный катализ. Горение. Взрывы,"CHEMISTRY, PHYSICAL",ТПУ,2016
Изобретение,Обработка поверхностей после нанесения покрытий,"ENGINEERING, MECHANICAL",ТИУ,2016
Секрет производства (ноу хау),Производство редких и редкоземельных металлов и сплавов,"CHEMISTRY, APPLIED",ТПУ,2016
Программа для ЭВМ,Осветительные приборы и установки,"ENGINEERING, CIVIL",ТПУ,2016
